,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
368,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215547
369,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
370,alofi,-19.0595,-169.9187,27.94,69,79,4.63,NU,1626216037
371,espanola,35.9911,-106.0806,32.51,21,27,5.27,US,1626215579
372,ondangwa,-17.9167,15.95,15.0,36,59,2.57,NA,1626216038
373,butaritari,3.0707,172.7902,28.65,74,57,5.45,KI,1626215579
374,khatanga,71.9667,102.5,4.55,76,100,7.23,RU,1626215580
375,juterbog,51.9833,13.0833,24.79,85,99,1.34,DE,1626216038
376,igrim,63.1906,64.4162,5.81,68,4,1.61,RU,1626215546
377,tiksi,71.6872,128.8694,11.76,91,99,4.41,RU,1626215580
378,muisne,0.6,-80.0333,24.04,84,89,3.93,EC,1626216039
379,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
380,victoria,22.2855,114.1577,30.18,82,46,0.45,HK,1626215780
381,kruisfontein,-34.0033,24.7314,7.71,82,61,5.51,ZA,1626215581
382,tucuman,-26.8241,-65.2226,18.0,63,90,1.03,AR,1626215954
383,carnarvon,-24.8667,113.6333,15.04,64,75,1.54,AU,1626215518
384,nipawin,53.3668,-104.0009,23.02,46,75,1.54,CA,1626216040
385,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215526
386,san policarpo,12.1791,125.5072,27.55,79,80,1.59,PH,1626216040
387,puerto carreno,6.189,-67.4859,25.72,87,80,0.83,CO,1626216040
388,saint-philippe,-21.3585,55.7679,20.75,68,32,5.78,RE,1626215666
389,lavrentiya,65.5833,-171.0,9.0,84,89,3.0,RU,1626215508
390,tres arroyos,-38.3739,-60.2798,7.11,59,0,2.45,AR,1626216041
391,vaitape,-16.5167,-151.75,26.74,73,0,7.79,PF,1626215584
392,jalu,29.0331,21.5482,29.25,38,0,5.64,LY,1626215584
393,tianpeng,30.9866,103.9393,27.26,93,86,1.19,CN,1626215584
394,sola,-13.8833,167.55,27.01,79,58,9.21,VU,1626215585
395,allonnes,47.9674,0.1581,18.02,77,0,1.54,FR,1626216042
396,hobart,-42.8794,147.3294,8.48,93,75,1.54,AU,1626215458
397,ramos arizpe,25.55,-100.9667,25.59,64,87,0.8,MX,1626216042
398,nanortalik,60.1432,-45.2371,6.84,83,35,0.86,GL,1626215550
399,hithadhoo,-0.6,73.0833,27.5,73,9,1.83,MV,1626215526
400,vestmannaeyjar,63.4427,-20.2734,10.84,88,97,7.14,IS,1626215586
401,nicoya,10.1483,-85.452,29.75,86,74,0.82,CR,1626216043
402,torbay,47.6666,-52.7314,12.31,73,20,4.12,CA,1626215587
403,east london,-33.0153,27.9116,11.9,57,78,9.18,ZA,1626215536
404,tasiilaq,65.6145,-37.6368,7.09,94,83,2.37,GL,1626215587
405,yulara,-25.2406,130.9889,17.91,88,90,3.6,AU,1626216043
406,acapulco,16.8634,-99.8901,30.9,70,75,3.09,MX,1626216044
407,avera,33.194,-82.5271,32.47,63,75,2.53,US,1626215588
408,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215455
409,havelock,34.8791,-76.9013,30.13,80,75,3.13,US,1626216007
410,sharan,54.8167,54.0,12.16,63,1,1.69,RU,1626216044
411,gamba,-2.65,10.0,21.36,89,30,2.88,GA,1626215588
412,jamestown,42.097,-79.2353,21.77,94,90,4.12,US,1626215383
413,mar del plata,-38.0023,-57.5575,10.07,70,0,0.0,AR,1626215351
414,bilma,18.6853,12.9164,34.94,24,77,2.79,NE,1626215589
415,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
416,necochea,-38.5473,-58.7368,7.24,66,0,0.93,AR,1626215589
417,kapaa,22.0752,-159.319,29.18,74,90,1.34,US,1626215509
418,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215547
419,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1626215494
420,saldanha,-33.0117,17.9442,5.03,73,28,2.24,ZA,1626216045
421,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
422,kruisfontein,-34.0033,24.7314,7.71,82,61,5.51,ZA,1626215581
423,vaini,-21.2,-175.2,26.09,89,75,3.6,TO,1626215499
424,terny,50.9833,33.9833,20.17,62,32,2.85,UA,1626215591
425,bluff,-46.6,168.3333,8.34,72,98,8.49,NZ,1626215499
426,osypenko,46.9136,36.8253,24.35,58,5,4.91,UA,1626215591
427,hermanus,-34.4187,19.2345,9.39,73,29,3.91,ZA,1626215592
428,nome,64.5011,-165.4064,13.42,76,90,2.57,US,1626215658
429,acarau,-2.8856,-40.12,26.27,79,43,6.49,BR,1626215448
430,mahebourg,-20.4081,57.7,21.16,60,40,3.6,MU,1626215562
431,bredasdorp,-34.5322,20.0403,6.62,81,34,1.54,ZA,1626215508
432,surgut,61.25,73.4167,9.1,76,0,5.0,RU,1626216047
433,pisco,-13.7,-76.2167,19.45,77,20,6.69,PE,1626215633
434,saint-philippe,-21.3585,55.7679,19.75,68,32,5.78,RE,1626216047
435,kaitangata,-46.2817,169.8464,4.96,70,72,2.64,NZ,1626215684
436,kruisfontein,-34.0033,24.7314,7.71,82,61,5.51,ZA,1626215581
437,jamestown,42.097,-79.2353,21.77,93,90,0.89,US,1626215422
438,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
439,hermanus,-34.4187,19.2345,9.39,73,29,3.91,ZA,1626215530
440,mar del plata,-38.0023,-57.5575,10.07,70,0,0.0,AR,1626215549
441,torbay,47.6666,-52.7314,12.31,73,20,4.12,CA,1626215587
442,dandong,40.1292,124.3947,24.74,91,100,8.99,CN,1626215594
443,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
444,belmonte,-15.8631,-38.8828,23.28,84,0,3.38,BR,1626216049
445,deputatskiy,69.3,139.9,13.36,61,98,1.58,RU,1626215595
446,saskylakh,71.9167,114.0833,7.93,56,75,7.91,RU,1626215571
447,bluff,-46.6,168.3333,8.34,72,98,8.49,NZ,1626215499
448,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
449,arraial do cabo,-22.9661,-42.0278,21.98,88,20,3.6,BR,1626216050
450,kruisfontein,-34.0033,24.7314,7.71,82,61,5.51,ZA,1626215514
451,dikson,73.5069,80.5464,1.73,91,100,6.83,RU,1626215525
452,cabo san lucas,22.8909,-109.9124,31.95,58,75,2.57,MX,1626215446
453,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
454,yellowknife,62.456,-114.3525,24.05,40,20,7.72,CA,1626215545
455,arraial do cabo,-22.9661,-42.0278,21.98,88,20,3.6,BR,1626215595
456,isangel,-19.55,169.2667,23.06,78,75,0.0,VU,1626215631
457,rio gallegos,-51.6226,-69.2181,1.03,80,40,2.06,AR,1626215338
458,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
459,boueni,-12.9025,45.0761,20.99,72,1,2.76,YT,1626215597
460,narsaq,60.9167,-46.05,15.12,75,54,0.67,GL,1626215636
461,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
462,ahipara,-35.1667,173.1667,13.34,59,6,3.81,NZ,1626216051
463,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
464,merritt island,28.5392,-80.672,31.19,72,20,3.6,US,1626216032
465,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215547
466,alice springs,-23.7,133.8833,20.75,23,4,7.2,AU,1626215598
467,ilulissat,69.2167,-51.1,5.97,96,100,4.39,GL,1626215616
468,kailua,21.4022,-157.7394,30.01,62,20,6.17,US,1626216052
469,coahuayana,18.7333,-103.6833,28.71,70,77,1.99,MX,1626215498
470,sorland,67.667,12.6934,12.74,88,90,5.0,NO,1626216053
471,qaanaaq,77.484,-69.3632,5.45,73,100,4.26,GL,1626215623
472,port alfred,-33.5906,26.891,11.17,69,100,8.9,ZA,1626215530
473,provideniya,64.3833,-173.3,8.06,81,0,5.0,RU,1626215600
474,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
475,faya,18.3851,42.4509,21.06,46,98,0.62,SA,1626215600
476,madaoua,14.073,5.96,31.08,51,14,4.91,NE,1626216054
477,georgetown,5.4112,100.3354,25.5,91,20,0.89,MY,1626216054
478,agra,27.1833,78.0167,32.53,54,100,4.08,IN,1626215980
479,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
480,puerto ayora,-0.7393,-90.3518,25.98,85,53,4.63,EC,1626215474
481,salym,60.0625,71.4789,8.52,63,100,5.9,RU,1626216054
482,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
483,albany,42.6001,-73.9662,25.1,87,94,1.79,US,1626215444
484,hobart,-42.8794,147.3294,8.48,93,75,1.54,AU,1626215458
485,champerico,14.3,-91.9167,30.2,71,95,3.53,GT,1626215602
486,carandai,-20.9536,-43.8064,15.02,67,1,1.92,BR,1626215603
487,buluang,13.3068,123.3425,25.73,86,100,1.19,PH,1626216055
488,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
489,cap malheureux,-19.9842,57.6142,21.27,73,14,1.79,MU,1626216056
490,butaritari,3.0707,172.7902,28.65,74,57,5.45,KI,1626215579
491,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
492,hasaki,35.7333,140.8333,24.05,87,98,5.25,JP,1626215564
493,gizo,-8.103,156.8419,28.16,76,91,3.86,SB,1626215604
494,torbay,47.6666,-52.7314,12.31,73,20,4.12,CA,1626215587
495,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
496,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215455
497,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
498,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215516
499,tanout,14.9709,8.8879,29.54,47,68,4.86,NE,1626216057
500,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
